question,answer,source,section,type,difficulty
简述联的知识库的含义。,"当召回的内容片段正确时，尝试优化提示词，例如明确指定要调用的知识库，并增
加限制条件等，或者尝试对片段长度进行调整，减少不相关内容的干扰，或者更换大模型。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
为什么联的知识库很重要？,"当召回的内容片段正确时，尝试优化提示词，例如明确指定要调用的知识库，并增
加限制条件等，或者尝试对片段长度进行调整，减少不相关内容的干扰，或者更换大模型。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",reason,easy
概括一下联的知识库。,"当召回的内容片段正确时，尝试优化提示词，例如明确指定要调用的知识库，并增
加限制条件等，或者尝试对片段长度进行调整，减少不相关内容的干扰，或者更换大模型。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",summary,easy
计不同的定义是什么？,"至给 AI 系统一个指令，它就可以帮我们自动设计一个卡片页面，让 Agent 回复的内容
的可读性更强。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",6.4  卡片,definition,easy
怎样使用计不同？,"至给 AI 系统一个指令，它就可以帮我们自动设计一个卡片页面，让 Agent 回复的内容
的可读性更强。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",6.4  卡片,method,easy
计不同的运行机制是怎样的？,"至给 AI 系统一个指令，它就可以帮我们自动设计一个卡片页面，让 Agent 回复的内容
的可读性更强。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",6.4  卡片,principle,medium
什么是与知识库不同？,"的图
片、文档、表格等常用文件。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
请简述与知识库不同的工作机制。,"的图
片、文档、表格等常用文件。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",principle,medium
如何理解 自？,通过高级设置，根据需求进行精细调整，实现个性化优化。,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
请简述 自的工作机制。,通过高级设置，根据需求进行精细调整，实现个性化优化。,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",principle,medium
 自可以解决哪些问题？,通过高级设置，根据需求进行精细调整，实现个性化优化。,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",application,medium
请解释一下Top P（累计概率）：Top P 。,"大模型在生成输出内容时会从出现概率最高的词汇开
始选择，直到这些词汇出现的总概率累计达到 Top 值。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
Top P（累计概率）：Top P 的主要内容是什么？,"大模型在生成输出内容时会从出现概率最高的词汇开
始选择，直到这些词汇出现的总概率累计达到 Top 值。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",summary,easy
Top P（累计概率）：Top P 可以解决哪些问题？,"大模型在生成输出内容时会从出现概率最高的词汇开
始选择，直到这些词汇出现的总概率累计达到 Top 值。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",application,easy
如何理解人设与回复逻辑就？,"型对话的提示词更
专业、更复杂。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
为什么要用人设与回复逻辑就？,"型对话的提示词更
专业、更复杂。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",reason,medium
人设与回复逻辑就有哪些应用？,"型对话的提示词更
专业、更复杂。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",application,medium
什么是plugin_name 和 api_name？,插件和插件里面的具体工具的名称。,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
如何理解知识服务业？,"顿、四大会计事务所等机构，纷纷加大 AI 战略投资与布局，借助 AI 技术增强对自身知
识资产的挖掘和应用，提升咨询顾问的交付效率和质量，并通过推广 AI 数字员工优化
人才结构，减少初级顾问的配置。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
解释知识服务业的核心原理。,"顿、四大会计事务所等机构，纷纷加大 AI 战略投资与布局，借助 AI 技术增强对自身知
识资产的挖掘和应用，提升咨询顾问的交付效率和质量，并通过推广 AI 数字员工优化
人才结构，减少初级顾问的配置。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",principle,medium
为什么知识服务业很重要？,"顿、四大会计事务所等机构，纷纷加大 AI 战略投资与布局，借助 AI 技术增强对自身知
识资产的挖掘和应用，提升咨询顾问的交付效率和质量，并通过推广 AI 数字员工优化
人才结构，减少初级顾问的配置。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",reason,easy
请解释一下整个工作流程。,并根据调研信息，按照特定的框架和形式输出调研诊断报告。,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
为什么要用整个工作流程？,并根据调研信息，按照特定的框架和形式输出调研诊断报告。,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",reason,medium
请介绍整个工作流程的实现方式。,并根据调研信息，按照特定的框架和形式输出调研诊断报告。,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",method,easy
请解释一下现实的挑战。,初级顾问要经常晚上熬夜加班通过重听录音等方式对白天的访谈进行补充完善。,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
用几句话总结现实的挑战。,初级顾问要经常晚上熬夜加班通过重听录音等方式对白天的访谈进行补充完善。,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",summary,easy
开发现实的挑战的步骤有哪些？,初级顾问要经常晚上熬夜加班通过重听录音等方式对白天的访谈进行补充完善。,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",method,medium
如何理解调研诊断报告主要？,"可以拆解为 4 个模块，一是报告框架，二是报告观点，三是对观点的论证材料，四是报
告的展现形式。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
怎样使用调研诊断报告主要？,"可以拆解为 4 个模块，一是报告框架，二是报告观点，三是对观点的论证材料，四是报
告的展现形式。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",method,medium
解释调研诊断报告主要的核心原理。,"可以拆解为 4 个模块，一是报告框架，二是报告观点，三是对观点的论证材料，四是报
告的展现形式。","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",principle,medium
什么是接下来就？,内版作为 Agent 开发平台。,"零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)","零基础开发AI Agent——手把手教你用扣子做智能体_叶涛等-202501 (叶涛管锴 张心雨著) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
